,0,1
0,/data,"{""sample_key"":""33134542_50"",""timestamp0"":33134542,""timestamp"":50,""stroke_id"":314,""xyp"":[0.520490679824561,0.46270751953125,0.01375],""rel_xyp"":[0,0,0.0011363636363639993],""rel_xyp_lp"":[0,0,0.00015841895215475165],""xyp_sg"":[-5.770714e-8,1.12200006e-7,0.000048941645218],""s"":0.000012617034260625449,""angle"":2.0458372482196507,""da"":0,""segment_id"":464}"
1,/data,"{""sample_key"":""33134555_60"",""timestamp0"":33134555,""timestamp"":60,""stroke_id"":314,""xyp"":[0.5189092020917679,0.46578275240384615,0.01235139860139846],""rel_xyp"":[-0.0015814777327930463,0.0030752328725961453,-0.0002622377622375407],""rel_xyp_lp"":[-5.385527149544934e-7,0.000001047232584001667,0.0003324452413149225],""xyp_sg"":[-7.04942863e-7,0.000001362057219,0.000090229972557],""s"":0.0001533670208331847,""angle"":2.0483910359855635,""da"":0,""segment_id"":464}"
2,/data,"{""sample_key"":""33134568_70"",""timestamp0"":33134568,""timestamp"":70,""stroke_id"":314,""xyp"":[0.5173738507928475,0.4685293344350962,0.012115384615384384],""rel_xyp"":[-0.0031168290317135083,0.005821814903846201,-0.0004982517482516168],""rel_xyp_lp"":[-0.00000622042826076048,0.000012014443439058704,0.0005755489947603238],""xyp_sg"":[-0.000004238931979,0.000008131989489,0.000139531810419],""s"":0.000917048512194395,""angle"":2.0513118656986595,""da"":0,""segment_id"":464}"
3,/data,"{""sample_key"":""33134581_80"",""timestamp0"":33134581,""timestamp"":80,""stroke_id"":314,""xyp"":[0.5158740827429147,0.4710975060096154,0.012639860139859923],""rel_xyp"":[-0.004616597081646301,0.008389986478365419,0.00002622377622392251],""rel_xyp_lp"":[-0.00003523692852424526,0.00006753985444344475,0.0008418342529509786],""xyp_sg"":[-0.000016861129552,0.000032093968912,0.000181732932106],""s"":0.003625355886383777,""angle"":2.0545314115700677,""da"":0,""segment_id"":464}"
4,/data,"{""sample_key"":""33134594_90"",""timestamp0"":33134594,""timestamp"":90,""stroke_id"":314,""xyp"":[0.5143888115721994,0.47362576998197115,0.013715034965034848],""rel_xyp"":[-0.006101868252361586,0.010918250450721145,0.0011013986013988473],""rel_xyp_lp"":[-0.0001318057784703487,0.0002505122858836086,0.0010524013170308028],""xyp_sg"":[-0.000050284834288,0.000094911527412,0.000196571781999],""s"":0.010740932266358656,""angle"":2.058004570120853,""da"":0,""segment_id"":464}"
5,/data,"{""sample_key"":""33134594_100"",""timestamp0"":33134594,""timestamp"":100,""stroke_id"":314,""xyp"":[0.5128205128205123,0.47630192683293265,0.01620629370629331],""rel_xyp"":[-0.007670167004048656,0.013594407301682654,0.003592657342657308],""rel_xyp_lp"":[-0.00036988847907281925,0.0006966684544597961,0.0011286431221127842],""xyp_sg"":[-0.000120699020044,0.00022580116638,0.000168640064658],""s"":0.025603597438280105,""angle"":2.0616900954936517,""da"":0.003329082343837053,""segment_id"":464}"
6,/data,"{""sample_key"":""33134607_110"",""timestamp0"":33134607,""timestamp"":110,""stroke_id"":314,""xyp"":[0.5109886344466938,0.4794288048377404,0.018697552447552383],""rel_xyp"":[-0.009502045377867141,0.01672128530649042,0.0060839160839163825],""rel_xyp_lp"":[-0.0008384291399981852,0.0015642307288970426,0.0010426435605511426],""xyp_sg"":[-0.000244076189119,0.000452394247986,0.000100092896901],""s"":0.05140367124103805,""angle"":2.065558644536633,""da"":0.00356522415995314,""segment_id"":464}"
7,/data,"{""sample_key"":""33134620_120"",""timestamp0"":33134620,""timestamp"":120,""stroke_id"":314,""xyp"":[0.5091040401484483,0.48272705078125,0.020270979020979307],""rel_xyp"":[-0.011386639676112642,0.02001953125,0.007657342657343306],""rel_xyp_lp"":[-0.001612226684617444,0.002978873058618914,0.0008596462211705735],""xyp_sg"":[-0.000429096922744,0.000787712342571,0.000019003780835],""s"":0.08970032908228724,""angle"":2.0695907151607282,""da"":0.003767268159710069,""segment_id"":464}"
8,/data,"{""sample_key"":""33134633_130"",""timestamp0"":33134633,""timestamp"":130,""stroke_id"":314,""xyp"":[0.5072616185897437,0.48611684945913464,0.021022727272727616],""rel_xyp"":[-0.013229061234817263,0.023409329927884637,0.008409090909091615],""rel_xyp_lp"":[-0.002724257420730304,0.004985201304846748,0.0007442955977691932],""xyp_sg"":[-0.000670839857776,0.001219394849613,-0.000023745114959],""s"":0.1391743479971663,""angle"":2.0737482604551314,""da"":0.003938800033563228,""segment_id"":464}"
9,/data,"{""sample_key"":""33134633_140"",""timestamp0"":33134633,""timestamp"":140,""stroke_id"":314,""xyp"":[0.5055351720647776,0.4896381084735577,0.02215909090909069],""rel_xyp"":[-0.014955507759783382,0.02693058894230771,0.00954545454545469],""rel_xyp_lp"":[-0.004153995268718738,0.007531364273785338,0.0009152826106833394],""xyp_sg"":[-0.000948735862039,0.001707649207674,0.000028521915738],""s"":0.1953500845248992,""angle"":2.0779135618057802,""da"":0.004063654854275622,""segment_id"":464}"
10,/data,"{""sample_key"":""33134646_150"",""timestamp0"":33134646,""timestamp"":150,""stroke_id"":314,""xyp"":[0.5038680309547913,0.493560791015625,0.022666083916083768],""rel_xyp"":[-0.01662264886976972,0.030853271484375,0.010052447552447767],""rel_xyp_lp"":[-0.0058353265488423735,0.010491784975843334,0.0015602955020822104],""xyp_sg"":[-0.001230628113262,0.002194948960096,0.000212715516682],""s"":0.25163955353992545,""angle"":2.0817897265969876,""da"":0.004078501076576091,""segment_id"":464}"
11,/data,"{""sample_key"":""33134658_160"",""timestamp0"":33134658,""timestamp"":160,""stroke_id"":314,""xyp"":[0.5022957785087719,0.4978790283203125,0.022073863636363496],""rel_xyp"":[-0.018194901315789047,0.0351715087890625,0.009460227272727495],""rel_xyp_lp"":[-0.007677230131687717,0.013713659323257417,0.0027503411364251298],""xyp_sg"":[-0.001481650280766,0.002624379470944,0.000523435883224],""s"":0.3013744375690526,""angle"":2.0847581197124843,""da"":0.0038376275245368685,""segment_id"":464}"
